iter	MAE
792	0.3249522048
793	0.3249009828
794	0.3248573203
795	0.3248499063
796	0.3248168157
797	0.3247869149
798	0.3247458922
799	0.3247020851
800	0.3246592104
801	0.3246211145
802	0.324596792
803	0.3245792937
804	0.3245302082
805	0.3245038342
806	0.3244655199
807	0.324433717
808	0.3243916291
809	0.3243621806
810	0.3243306493
811	0.3243032617
812	0.3242885227
813	0.3242595752
814	0.3242113186
815	0.3241961295
816	0.3241750204
817	0.3241483793
818	0.3241373485
819	0.3241004609
820	0.324073637
821	0.3240391132
822	0.3240130393
823	0.3239784549
824	0.3239256292
825	0.3239039309
826	0.3238655068
827	0.3238322815
828	0.3237975202
829	0.3237745856
830	0.3237479079
831	0.3237392697
832	0.3237082413
833	0.3236867408
834	0.3236669348
835	0.3236536687
836	0.3236254291
837	0.3235729378
838	0.3235274311
839	0.323491506
840	0.3234609756
841	0.3234265938
842	0.3233985043
843	0.3233404417
844	0.3233039401
845	0.3232791358
846	0.3232463877
847	0.3232312961
848	0.3232249105
849	0.3231827079
850	0.323138035
851	0.3231017896
852	0.3230551769
853	0.3230143848
854	0.3229597417
855	0.3229389159
856	0.3229127928
857	0.3228782454
858	0.3228510632
859	0.3228340897
860	0.3228058258
861	0.3227832982
862	0.3227576217
863	0.3227351745
864	0.322706534
865	0.3226862152
866	0.3226361094
867	0.3226085093
868	0.3225916268
869	0.3225749734
870	0.3225194669
871	0.3224661078
872	0.3224360625
873	0.3223853244
874	0.3223529981
875	0.3223243635
876	0.3223066113
877	0.3222778693
878	0.3222683697
879	0.3222497879
880	0.3222141227
881	0.3221978452
882	0.3221772181
883	0.3221669086
884	0.3221406908
885	0.3221090623
886	0.3220774891
887	0.3220450912
888	0.3220221661
889	0.3219977946
890	0.3219791082
891	0.3219565522
892	0.3219449046
893	0.3219341013
894	0.3219047936
895	0.3218753452
896	0.3218354113
897	0.3218121225
898	0.3217690674
899	0.3217492347
900	0.3216987471
901	0.3216756458
902	0.3216472461
903	0.3216240254
904	0.3216239628
905	0.3215873422
906	0.3215585843
907	0.3215318928
908	0.3215102201
909	0.3214960143
910	0.321469653
911	0.3214532817
912	0.3214261072
913	0.3214110975
914	0.3214078697
915	0.3213690703
916	0.3213194164
917	0.321287754
918	0.3212780903
919	0.3212570379
920	0.3212314672
921	0.3212120922
922	0.3211931365
923	0.3211569525
924	0.321125822
925	0.3211034634
926	0.3210952556
927	0.321062249
928	0.3210350975
929	0.321015901
930	0.3209806622
931	0.3209550458
932	0.3209320072
933	0.3208855828
934	0.3208514176
935	0.3208023096
936	0.3207537071
937	0.3207217029
938	0.3206999895
939	0.3206516664
940	0.3206266968
941	0.3205854352
942	0.3205589597
943	0.3205277143
944	0.3204974088
945	0.320464359
946	0.3204456227
947	0.3204367273
948	0.3204168743
949	0.3203881881
950	0.3203555946
951	0.3203326992
952	0.3203076302
953	0.3202849607
954	0.3202532563
955	0.3202319187
956	0.3202052521
957	0.3201813349
958	0.32015958
959	0.3201176299
960	0.3200910611
961	0.3200421298
962	0.3200105849
963	0.3199870125
964	0.3199336543
965	0.3199012366
966	0.3198830454
967	0.3198430708
968	0.3198289089
969	0.3197800776
970	0.319749405
971	0.3197240297
972	0.3197002327
973	0.319677776
974	0.3196616299
975	0.3196300009
976	0.3196104421
977	0.3195818604
978	0.319524821
979	0.3195038331
980	0.3194868284
981	0.3194683076
982	0.3194260935
983	0.3193849702
984	0.3193565554
985	0.3193227202
986	0.319297295
987	0.3192478198
988	0.3192024736
989	0.3191761663
990	0.3191423851
991	0.3191049606
992	0.3190844461
993	0.3190680461
994	0.3190389807
995	0.318992033
996	0.3189685293
997	0.3189486788
998	0.3189142179
999	0.318876339
1000	0.3188561351
